Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
37500	-863.9989	-863.2949	-0.7040686	0.5684617	0.135607	0.135607	0.06558275	0.9344173	1e-06	0.0655827	1e-06	1e-06	0.934417	1e-06	0.0655827	0.934417
38000	-803.7088	-802.7851	-0.9236975	0.5318436	0.391854	0.391854	0.06931938	0.9306806	1e-06	0.0693194	1e-06	1e-06	0.930681	1e-06	0.0693194	0.930681
38500	-823.743	-823.1718	-0.5712022	0.5689685	0.0022337	0.0022337	0.06386163	0.9361384	1e-06	0.0638616	1e-06	1e-06	0.936138	1e-06	0.0638616	0.936138
39000	-873.6156	-872.9128	-0.7028248	0.5820744	0.12075	0.12075	0.06801308	0.9319869	1e-06	0.0680131	1e-06	1e-06	0.931987	1e-06	0.0680131	0.931987
39500	-831.9028	-831.3246	-0.5782235	0.5373245	0.040899	0.040899	0.0640062	0.9359938	1e-06	0.0640062	1e-06	1e-06	0.935994	1e-06	0.0640062	0.935994
40000	-837.2672	-836.6003	-0.666905	0.6390634	0.0278417	0.0278417	0.06653086	0.9334691	1e-06	0.0665309	1e-06	1e-06	0.933469	1e-06	0.0665309	0.933469
40500	-775.1797	-774.4892	-0.690553	0.4959883	0.194565	0.194565	0.06944325	0.9305567	1e-06	0.0694433	1e-06	1e-06	0.930557	1e-06	0.0694433	0.930557
41000	-802.9736	-802.4329	-0.540686	0.4856819	0.0550041	0.0550041	0.06493574	0.9350643	1e-06	0.0649357	1e-06	1e-06	0.935064	1e-06	0.0649357	0.935064
41500	-831.7417	-831.1071	-0.6345786	0.5782482	0.0563304	0.0563304	0.06616338	0.9338366	1e-06	0.0661634	1e-06	1e-06	0.933837	1e-06	0.0661634	0.933837
42000	-894.5654	-893.9521	-0.6133081	0.5866099	0.0266981	0.0266981	0.07796342	0.9220366	1e-06	0.0779634	1e-06	1e-06	0.922037	1e-06	0.0779634	0.922037
42500	-866.7357	-866.022	-0.7137319	0.6071018	0.10663	0.10663	0.06783421	0.9321658	1e-06	0.0678342	1e-06	1e-06	0.932166	1e-06	0.0678342	0.932166
43000	-889.9692	-889.3877	-0.5814407	0.5517394	0.0297013	0.0297013	0.07535472	0.9246453	1e-06	0.0753547	1e-06	1e-06	0.924645	1e-06	0.0753547	0.924645
43500	-869.8008	-869.0508	-0.7499951	0.6009253	0.14907	0.14907	0.0738799	0.9261201	1e-06	0.0738799	1e-06	1e-06	0.92612	1e-06	0.0738799	0.92612
44000	-894.4181	-893.6182	-0.7998992	0.6806756	0.119224	0.119224	0.0651733	0.9348267	1e-06	0.0651733	1e-06	1e-06	0.934827	1e-06	0.0651733	0.934827
44500	-878.6398	-877.9396	-0.7001227	0.6091533	0.0909694	0.0909694	0.06539416	0.9346058	1e-06	0.0653942	1e-06	1e-06	0.934606	1e-06	0.0653942	0.934606
45000	-872.8486	-872.091	-0.7575949	0.6318966	0.125698	0.125698	0.06103249	0.9389675	1e-06	0.0610325	1e-06	1e-06	0.938968	1e-06	0.0610325	0.938968
45500	-890.3582	-889.4819	-0.8762462	0.6817512	0.194495	0.194495	0.05593199	0.944068	1e-06	0.055932	1e-06	1e-06	0.944068	1e-06	0.055932	0.944068
46000	-850.9525	-850.3775	-0.5749869	0.5293042	0.0456827	0.0456827	0.08170618	0.9182938	1e-06	0.0817062	1e-06	1e-06	0.918294	1e-06	0.0817062	0.918294
46500	-906.4898	-905.7357	-0.7540707	0.6446321	0.109439	0.109439	0.07340941	0.9265906	1e-06	0.0734094	1e-06	1e-06	0.926591	1e-06	0.0734094	0.926591
47000	-919.0041	-918.0662	-0.9379066	0.6304711	0.307436	0.307436	0.0750765	0.9249235	1e-06	0.0750765	1e-06	1e-06	0.924923	1e-06	0.0750765	0.924923
47500	-920.7048	-920.1339	-0.5708251	0.5702241	0.000600991	0.000600991	0.07591491	0.9240851	1e-06	0.0759149	1e-06	1e-06	0.924085	1e-06	0.0759149	0.924085
