"","Acantholimon","Gentiana","Lappula","Arctostaphylos","Vaccinium","Gaultheria","Salix","Oxalis","Cassia","Senna","Sophora","Baptisia","Thermopsis","Lupinus","Cytisus","Chamaecytisus","Adesmia","Arachis","Indigofera","Tephrosia","Alysicarpus","Kummerowia","Lespedeza","Glycine","Psoralea","Phaseolus","Vigna","Robinia","Sesbania","Hippocrepis","Coronilla","Securigera","Anthyllis","Lotus","Ornithopus","Wisteria","Glycyrrhiza","Gueldenstaedtia","Caragana","Alhagi","Onobrychis","Hedysarum","Erophaca","Colutea","Astragalus","Oxytropis","Parochetus","Vicia","Lathyrus","Pisum","Trifolium","Medicago","Melilotus","Trigonella"
"Colias_hyperborea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0
"Colias_canadensis",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"Colias_pelidne",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colias_scudderii",0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colias_palaeno",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colias_behrii",0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colias_skinneri",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colias_interior",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colias_philodice",0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,2,2,2,2,2,2,0
"Colias_eurytheme",0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,2,0,0,0,0,2,2,2,2,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,0
"Colias_christina",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,0,2,0,0,0
"Colias_meadii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0
"Colias_alexandra",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,0,2,2,0,0
