species,host_family,host_genus
Colias_lesbia,Fabaceae,Vicia
Colias_marcopolo,Fabaceae,Astragalus
Colias_meadii,Fabaceae,Astragalus
Colias_meadii,Fabaceae,Oxytropis
Colias_meadii,Fabaceae,Trifolium
Colias_meadii,Fabaceae,Vicia
Colias_mossi,Fabaceae,Astragalus
Colias_mossi,Fabaceae,Medicago
Colias_myrmidone,Fabaceae,Chamaecytisus
Colias_myrmidone,Fabaceae,Cytisus
Colias_nastes,Fabaceae,Astragalus
Colias_nastes,Fabaceae,Hedysarum
Colias_nastes,Fabaceae,Lupinus
Colias_nastes,Fabaceae,Oxytropis
Colias_nastes,Salicaceae,Salix
Colias_nastes,Fabaceae,Trifolium
Colias_nebulosa,Fabaceae,Astragalus
Colias_nebulosa,Fabaceae,Caragana
Colias_nilagiriensis,Fabaceae,Parochetus
Colias_nilagiriensis,Fabaceae,Trifolium
Colias_nina,Fabaceae,Caragana
Colias_occidentalis,Fabaceae,Astragalus
Colias_occidentalis,Fabaceae,Hosackia
Colias_occidentalis,Fabaceae,Lathyrus
Colias_occidentalis,Fabaceae,Lupinus
Colias_occidentalis,Fabaceae,Melilotus
Colias_occidentalis,Fabaceae,Oxytropis
Colias_occidentalis,Fabaceae,Senna
Colias_occidentalis,Fabaceae,Thermopsis
Colias_occidentalis,Fabaceae,Trifolium
Colias_occidentalis,Fabaceae,Vicia
Colias_palaeno,Ericaceae,Vaccinium
Colias_pelidne,Ericaceae,Gaultheria
Colias_pelidne,Ericaceae,Vaccinium
Colias_phicomone,Brassicaceae,Arabis
Colias_phicomone,Fabaceae,Astragalus
Colias_phicomone,Brassicaceae,Boechera
Colias_phicomone,Fabaceae,Coronilla
Colias_phicomone,Fabaceae,Hippocrepis
Colias_phicomone,Fabaceae,Lotus
Colias_phicomone,Fabaceae,Medicago
Colias_phicomone,Fabaceae,Oxytropis
Colias_phicomone,Brassicaceae,Sisymbrium
Colias_phicomone,Brassicaceae,Streptanthus
Colias_phicomone,Fabaceae,Trifolium
Colias_phicomone,Brassicaceae,Turritis
Colias_phicomone,Fabaceae,Vicia
Colias_philodice,Fabaceae,Astragalus
Colias_philodice,Fabaceae,Baptisia
Colias_philodice,Fabaceae,Caragana
Colias_philodice,Fabaceae,Cytisus
Colias_philodice,Fabaceae,Glycine
Colias_philodice,Fabaceae,Hedysarum
Colias_philodice,Fabaceae,Lathyrus
Colias_philodice,Fabaceae,Lotus
Colias_philodice,Fabaceae,Lupinus
Colias_philodice,Fabaceae,Medicago
Colias_philodice,Fabaceae,Melilotus
Colias_philodice,Fabaceae,Pisum
Colias_philodice,Fabaceae,Robinia
Colias_philodice,Fabaceae,Thermopsis
Colias_philodice,Fabaceae,Trifolium
Colias_philodice,Fabaceae,Vicia
Colias_poliographus,Fabaceae,Astragalus
Colias_poliographus,Fabaceae,Glycine
Colias_poliographus,Fabaceae,Hedysarum
Colias_poliographus,Fabaceae,Indigofera
Colias_poliographus,Fabaceae,Lotus
Colias_poliographus,Fabaceae,Lupinus
Colias_poliographus,Fabaceae,Medicago
Colias_poliographus,Fabaceae,Melilotus
Colias_poliographus,Fabaceae,Parochetus
Colias_poliographus,Fabaceae,Pisum
Colias_poliographus,Fabaceae,Robinia
Colias_poliographus,Fabaceae,Sesbania
Colias_poliographus,Fabaceae,Trifolium
Colias_poliographus,Fabaceae,Vicia
Colias_sagartia,Plumbaginaceae,Acantholimon
Colias_sagartia,Fabaceae,Astragalus
Colias_scudderii,Salicaceae,Salix
Colias_scudderii,Ericaceae,Vaccinium
Colias_sifanica,Fabaceae,Caragana
Colias_skinneri,Ericaceae,Gaultheria
Colias_skinneri,Ericaceae,Vaccinium
Colias_stoliczkana,Fabaceae,Oxytropis
Colias_tamerlana,Fabaceae,Astragalus
