Iteration	Posterior	Likelihood	Prior	clock_host	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
2450	-1873.729	-1872.915	-0.8148234	0.8148234	0.05470063	0.9452994	1e-06	0.0547006	1e-06	1e-06	0.945299	1e-06	0.0547006	0.945299
2500	-1762.875	-1762.042	-0.8328986	0.8328986	0.04614503	0.953855	1e-06	0.046145	1e-06	1e-06	0.953855	1e-06	0.046145	0.953855
2550	-1687.75	-1686.92	-0.8298571	0.8298571	0.03924109	0.9607589	1e-06	0.0392411	1e-06	1e-06	0.960759	1e-06	0.0392411	0.960759
2600	-1814.39	-1813.563	-0.8273026	0.8273026	0.0446706	0.9553294	1e-06	0.0446706	1e-06	1e-06	0.955329	1e-06	0.0446706	0.955329
2650	-1742.962	-1742.115	-0.8464051	0.8464051	0.0439405	0.9560595	1e-06	0.0439405	1e-06	1e-06	0.956059	1e-06	0.0439405	0.956059
2700	-1721.98	-1721.182	-0.7976176	0.7976176	0.04269455	0.9573054	1e-06	0.0426946	1e-06	1e-06	0.957305	1e-06	0.0426946	0.957305
2750	-1807.168	-1806.379	-0.7887759	0.7887759	0.0577595	0.9422405	1e-06	0.0577595	1e-06	1e-06	0.942241	1e-06	0.0577595	0.942241
2800	-1737.28	-1736.434	-0.8454518	0.8454518	0.04717305	0.952827	1e-06	0.047173	1e-06	1e-06	0.952827	1e-06	0.047173	0.952827
2850	-1871.586	-1870.778	-0.8074247	0.8074247	0.05545683	0.9445432	1e-06	0.0554568	1e-06	1e-06	0.944543	1e-06	0.0554568	0.944543
2900	-1781.051	-1780.217	-0.8348956	0.8348956	0.05347856	0.9465214	1e-06	0.0534786	1e-06	1e-06	0.946521	1e-06	0.0534786	0.946521
2950	-1740.444	-1739.66	-0.7837482	0.7837482	0.04915906	0.9508409	1e-06	0.0491591	1e-06	1e-06	0.950841	1e-06	0.0491591	0.950841
3000	-1730.781	-1729.949	-0.8321414	0.8321414	0.04697457	0.9530254	1e-06	0.0469746	1e-06	1e-06	0.953025	1e-06	0.0469746	0.953025
3050	-1776.915	-1776.074	-0.8406983	0.8406983	0.05246438	0.9475356	1e-06	0.0524644	1e-06	1e-06	0.947536	1e-06	0.0524644	0.947536
3100	-1715.764	-1715.017	-0.7466244	0.7466244	0.04727283	0.9527272	1e-06	0.0472728	1e-06	1e-06	0.952727	1e-06	0.0472728	0.952727
3150	-1688.327	-1687.565	-0.7612461	0.7612461	0.04144032	0.9585597	1e-06	0.0414403	1e-06	1e-06	0.95856	1e-06	0.0414403	0.95856
3200	-1802.181	-1801.424	-0.7561383	0.7561383	0.05659769	0.9434023	1e-06	0.0565977	1e-06	1e-06	0.943402	1e-06	0.0565977	0.943402
3250	-1615.955	-1615.2	-0.7554357	0.7554357	0.04157636	0.9584236	1e-06	0.0415764	1e-06	1e-06	0.958424	1e-06	0.0415764	0.958424
3300	-1708.764	-1708.002	-0.7619325	0.7619325	0.04298487	0.9570151	1e-06	0.0429849	1e-06	1e-06	0.957015	1e-06	0.0429849	0.957015
3350	-1649.554	-1648.824	-0.7295331	0.7295331	0.04570839	0.9542916	1e-06	0.0457084	1e-06	1e-06	0.954292	1e-06	0.0457084	0.954292
3400	-1578.441	-1577.726	-0.7148773	0.7148773	0.04767253	0.9523275	1e-06	0.0476725	1e-06	1e-06	0.952327	1e-06	0.0476725	0.952327
3450	-1578.911	-1578.19	-0.7215813	0.7215813	0.0456265	0.9543735	1e-06	0.0456265	1e-06	1e-06	0.954373	1e-06	0.0456265	0.954373
3500	-1565.413	-1564.699	-0.7148074	0.7148074	0.04624886	0.9537511	1e-06	0.0462489	1e-06	1e-06	0.953751	1e-06	0.0462489	0.953751
3550	-1541.989	-1541.299	-0.6907417	0.6907417	0.04385803	0.956142	1e-06	0.043858	1e-06	1e-06	0.956142	1e-06	0.043858	0.956142
3600	-1514.447	-1513.73	-0.7171416	0.7171416	0.04481279	0.9551872	1e-06	0.0448128	1e-06	1e-06	0.955187	1e-06	0.0448128	0.955187
3650	-1538.46	-1537.796	-0.664445	0.664445	0.04905564	0.9509444	1e-06	0.0490556	1e-06	1e-06	0.950944	1e-06	0.0490556	0.950944
3700	-1515.839	-1515.177	-0.6622825	0.6622825	0.0459559	0.9540441	1e-06	0.0459559	1e-06	1e-06	0.954044	1e-06	0.0459559	0.954044
3750	-1439.822	-1439.15	-0.6722851	0.6722851	0.04196431	0.9580357	1e-06	0.0419643	1e-06	1e-06	0.958036	1e-06	0.0419643	0.958036
3800	-1565.984	-1565.212	-0.7723623	0.7723623	0.04313401	0.956866	1e-06	0.043134	1e-06	1e-06	0.956866	1e-06	0.043134	0.956866
3850	-1452.623	-1451.943	-0.6803953	0.6803953	0.04215683	0.9578432	1e-06	0.0421568	1e-06	1e-06	0.957843	1e-06	0.0421568	0.957843
3900	-1420.273	-1419.602	-0.671376	0.671376	0.035656	0.964344	1e-06	0.035656	1e-06	1e-06	0.964344	1e-06	0.035656	0.964344
3950	-1492.048	-1491.382	-0.6666851	0.6666851	0.04116168	0.9588383	1e-06	0.0411617	1e-06	1e-06	0.958838	1e-06	0.0411617	0.958838
4000	-1499.221	-1498.554	-0.6674547	0.6674547	0.04545864	0.9545414	1e-06	0.0454586	1e-06	1e-06	0.954541	1e-06	0.0454586	0.954541
4050	-1423.69	-1423.005	-0.6843743	0.6843743	0.03980023	0.9601998	1e-06	0.0398002	1e-06	1e-06	0.9602	1e-06	0.0398002	0.9602
4100	-1439.576	-1438.944	-0.6323744	0.6323744	0.03472024	0.9652798	1e-06	0.0347202	1e-06	1e-06	0.96528	1e-06	0.0347202	0.96528
4150	-1528.765	-1528.051	-0.7138846	0.7138846	0.0433355	0.9566645	1e-06	0.0433355	1e-06	1e-06	0.956665	1e-06	0.0433355	0.956665
4200	-1451.803	-1451.139	-0.6641487	0.6641487	0.0384631	0.9615369	1e-06	0.0384631	1e-06	1e-06	0.961537	1e-06	0.0384631	0.961537
4250	-1465.537	-1464.919	-0.6183528	0.6183528	0.03946712	0.9605329	1e-06	0.0394671	1e-06	1e-06	0.960533	1e-06	0.0394671	0.960533
4300	-1409.494	-1408.811	-0.6826828	0.6826828	0.03711473	0.9628853	1e-06	0.0371147	1e-06	1e-06	0.962885	1e-06	0.0371147	0.962885
4350	-1569.108	-1568.447	-0.6605684	0.6605684	0.05012388	0.9498761	1e-06	0.0501239	1e-06	1e-06	0.949876	1e-06	0.0501239	0.949876
4400	-1514.227	-1513.547	-0.6801975	0.6801975	0.04432043	0.9556796	1e-06	0.0443204	1e-06	1e-06	0.95568	1e-06	0.0443204	0.95568
4450	-1520.369	-1519.728	-0.6412742	0.6412742	0.05309455	0.9469055	1e-06	0.0530945	1e-06	1e-06	0.946905	1e-06	0.0530945	0.946905
4500	-1480.739	-1480.073	-0.6655358	0.6655358	0.04327477	0.9567252	1e-06	0.0432748	1e-06	1e-06	0.956725	1e-06	0.0432748	0.956725
4550	-1479.663	-1479.041	-0.6221637	0.6221637	0.04735862	0.9526414	1e-06	0.0473586	1e-06	1e-06	0.952641	1e-06	0.0473586	0.952641
4600	-1515.884	-1515.19	-0.6944301	0.6944301	0.04484752	0.9551525	1e-06	0.0448475	1e-06	1e-06	0.955152	1e-06	0.0448475	0.955152
4650	-1474.338	-1473.636	-0.7016701	0.7016701	0.04060202	0.959398	1e-06	0.040602	1e-06	1e-06	0.959398	1e-06	0.040602	0.959398
4700	-1439.444	-1438.761	-0.6829689	0.6829689	0.04147464	0.9585254	1e-06	0.0414746	1e-06	1e-06	0.958525	1e-06	0.0414746	0.958525
4750	-1515.604	-1514.864	-0.7402512	0.7402512	0.04278181	0.9572182	1e-06	0.0427818	1e-06	1e-06	0.957218	1e-06	0.0427818	0.957218
4800	-1453.039	-1452.422	-0.6177619	0.6177619	0.03832038	0.9616796	1e-06	0.0383204	1e-06	1e-06	0.96168	1e-06	0.0383204	0.96168
4850	-1441.401	-1440.738	-0.6631954	0.6631954	0.03694561	0.9630544	1e-06	0.0369456	1e-06	1e-06	0.963054	1e-06	0.0369456	0.963054
4900	-1545.777	-1545.064	-0.713647	0.713647	0.04977011	0.9502299	1e-06	0.0497701	1e-06	1e-06	0.95023	1e-06	0.0497701	0.95023
4950	-1494.197	-1493.513	-0.6842466	0.6842466	0.04355538	0.9564446	1e-06	0.0435554	1e-06	1e-06	0.956445	1e-06	0.0435554	0.956445
